Year,Primary energy consumption per capita (kWh/person),Primary energy consumption (TWh)
1965,72294.78125,14439.70117
1966,75520.96875,15247.36328
1967,77381.78906,15778.53906
1968,81238.67188,16719.38477
1969,84674.39844,17583.42383
1970,86895.85156,18205.83984
1971,87939.48438,18589.00781
1972,91499.50781,19514.08203
1973,94525.08594,20339.79492
1974,91392.19531,19842.60742
1975,88184.10156,19319.48242
1976,92165.35938,20376.50977
1977,93645.48438,20895.64648
1978,94836.05469,21359.29102
1979,94943.53906,21584.40039
1980,90431.79688,20751.95898
1981,86938.50781,20138.09375
1982,82619.0625,19318.14063
1983,81559.59375,19250.53125
1984,84932.25,20235.68945
1985,83926.23438,20184.24414
1986,83917.05469,20371.9668
1987,85924.5625,21056.05273
1988,88994.96875,22014.88672
1989,90291.5625,22548.13281
1990,89665.96875,22606.61328
1991,88694.76563,22576.31055
1992,89144.67188,22909.34375
1993,90123.80469,23390.02344
1994,90833.88281,23820.38867
1995,91795.78906,24340.91602
1996,93768.60156,25161.39844
1997,93297.6875,25350.25391
1998,92713.60938,25512.49805
1999,93215.85938,25965.10547
2000,94229.3125,26545.42578
2001,91047.26563,25912.78125
2002,91541.03906,26297.84766
2003,91023.79688,26380.11133
2004,92003.14844,26897.54883
2005,91222.79688,26910.13281
2006,89663.52344,26698.11914
2007,90030.03125,27063.78711
2008,87007.35156,26405.51563
2009,81961.84375,25105.53125
2010,83983.50781,25951.86523
2011,82565.40625,25726.06445
2012,79759.125,25047.86523
2013,81313.85938,25727.75
2014,81576.35938,25996.21875
2015,80239.25,25747.0332
2016,79634.29688,25723.15234
2017,79422.46875,25819.03125
2018,81818.34375,26762.47266
2019,80749,26571.66016
2020,74299.17188,24593.22266
2021,77573.71875,25825.46094
